fraas;lause;tase
majast mereni;Suvel käin ma igal hommikul meres ujumas, meie majast mereni on ainult kakssada meetrit.;A1
paberist tuulelohe;Alguses tegin ma paberist tuulelohe.;kl2
pärast tunde;Janno ja Piia lähevad pärast tunde mänguväljakule.;kl2
telefonist pilti;Ma vaatasin telefonist pilti ja joonistasin.;kl2
pudelist vett;Tõnu jõi kooli ees pudelist vett.;kl2
sellist filmi;Täna sa sellist filmi ei vaadanud.;kl3
punast veini;Kas te soovite valget või punast veini?;A2
majast majasse;See püha meeldib eriti lastele, kes panevad meeste riided selga või maskeerivad ennast loomadeks ja käivad majast majasse, kus laulavad ja soovivad pererahvale tulevikuks õnne.;A2
puust istme;Vannipõhja tegi onu puust istme ja vannile tule alla.;A2
nahast tugitool;Seal on ka kirjutuslaud, nahast tugitool ja arvuti.;A2
dušist vett;Meil köögis kraan tilgub ja vannitoas ei tule dušist vett.;A2
referaadist ülevaate;Esimesena tegi referaadist ülevaate Rein.;kl5
raadiost uudiseid;Hommikuti kuulavad mu vanemad raadiost uudiseid.;kl5
laest sahinat;Kohe pärast esimest tundi kuulsime laest sahinat.;kl5
töölehest foto;Ma saadan sulle sellest töölehest foto!;kl5
telekast intervjuud;Ma vaatasin eile telekast intervjuud ühe kuulsa näitlejaga.;kl5
internetist blogisid;Minu vend loeb tavaliselt internetist blogisid, mis on seotud rattaspordiga.;kl5
rahvast täis;Mu ema elas lapsena maal ja neil oli jõulude ajal alati maja rahvast täis.;kl5
internetist infot;Võõrad inimesed võivad sinu kohta internetist infot leida ja seda kurjasti ära kasutada.;kl5
pärast vahetusnädalat;Aleksandri isa kardab, et pärast vahetusnädalat on lastel oma koolis palju järeltöid.;kl5
loomaarmastajast emale;Epul on olnud palju lemmikloomi, sest neid sattus tema koju tänu loomaarmastajast emale ning loomaarstist vanaisale.;kl5
loomaarstist vanaisale;Epul on olnud palju lemmikloomi, sest neid sattus tema koju tänu loomaarmastajast emale ning loomaarstist vanaisale.;kl5
kodust lahkumist;Kuhu te hommikul esimese asjana pärast kodust lahkumist lähete?;kl5
pärast mures;Ma olen lihtsalt sinu pärast mures.;kl5
pärast hommikusööki;Mis tegevused on pärast hommikusööki ja enne lõunat?;kl5
programmist osa;Mul on nii hea meel, et ma sellest programmist osa võtsin.;kl5
vihikust valemit;Teele, see ei ole tähtis, kas sa nägid oma vihikust valemit või mitte.;kl5
hoiatustest abi;Õnneks oli hoiatustest abi ning tormis ükski inimene viga ei saanud.;kl5
koolist rõõmu;Loodan, et õpilased tunnevad koolist rõõmu!;kl5
projektidest osa;Meie kool võtab tihti igasugu põnevatest projektidest osa.;kl5
kesklinnast lauluväljakule;Enne laulupidu on rongkäik, kus kõik lauljad ja tantsijad liiguvad kesklinnast lauluväljakule.;kl6
haiglast silmaoperatsioonilt;Juku tuleb haiglast silmaoperatsioonilt.;kl6
netist pilte;Vaata netist pilte ja kirjuta mulle, millised sümbolid on veel laulupeoga seotud.;kl6
laulupeost osa;Ma laulan kooris, sest tahan laulupeost osa võtta.;kl6
rahvusest õpilaste;Me leidsime endale sõpru teisest rahvusest õpilaste seas.;kl6
laulupeost osa;Niimoodi said laulupeost osa ka need, kes ise ei saanud Tallinnasse peole sõita.;kl6
kooliüritustest osa;Ta võtab alati kooliüritustest osa.;kl6
keelelaagrist osa;Tahaksime ka tuleval aastal keelelaagrist osa võtta - see on meie kõikide soov.;kl6
rahvusest näitlejaid;Vene teatri näitleja ja lavastaja Eduard Toman on üks vene rahvusest näitlejaid, keda teavad ka kõik eestlased.;kl6
piimapakist sööginõu;Akna taha võid riputada ka pähklist pärlid või piimapakist sööginõu.;kl6
rahvusest õpilastega;Elame koos eesti rahvusest õpilastega Liival.;kl6
suusapäevast osa;Kas kõik sinu klassikaaslased soovivad suusapäevast osa võtta?;kl6
spordipäevast osa;Kas sa oled alati spordipäevast osa võtnud?;kl6
laagrist osa;Kas sa tahaksid suvel mõnest laagrist osa võtta?;kl6
spordipäevast osa;Kas sa võtsid viimasest spordipäevast osa?;kl6
klassikaaslastest võiks;Kes sinu klassikaaslastest võiks saada tippsportlaseks?;kl6
telerist päevasündmusi;Koos istutakse kohvilauas, vaadatakse telerist päevasündmusi ja presidendi vastuvõttu.;kl6
spordipäevast osa;Kuidas õpilased spordipäevast osa võtsid?;kl6
spordimuuseumist ülevaate;Ma usun, et te saite meie spordimuuseumist ülevaate ja nõustute minuga, et muuseumi tegevus on huvitav ja hariv.;kl6
internetist bussi-;Uuri ise internetist bussi- või rongiaegu ja koosta sõidukava, kuidas jõuda sinu kodukohast Otepääle.;kl6
eestlasest sõber;Otsi omale eestlasest sõber, miks ka mitte kirjasõber.;kl6
nahast seelik;Kodutee oli väsitav, kõrged platvormkingad ja maani nahast seelik tundusid meeletult rasked olevat, aga kannatasin ära.;B1
betoonist tasapindu;Concrete Products OÜ hakkas teadaolevalt esimesena Euroopas valmistama betoonist tasapindu.;B1
arvutisõltlasest sõber;Kas sul on mõni arvutisõltlasest sõber?;B1
peremehest sammugi;Klaus ei jää peremehest sammugi maha - käib nii kodus kui metsas Mardiga koos nagu vari.;B1
munakeetmisest lapsehoidmiseni;Kodus võiks ta meid aidata munakeetmisest lapsehoidmiseni.;B1
internetist kauba;Kulleritel, kes postipakke kohale toimetavad, on maal aina rohkem tööd, kuna linna poodlema sõitmise asemel eelistavad inimesed internetist kauba otse koju tellida.;B1
metallist klassikani;Ma kuulan kõike - metallist klassikani!;B1
töödest nimekirja;Ma pean töödest nimekirja tegema.;B1
iirlasest mees;Moonika kõneleb lastega eesti keeles, tema iirlasest mees inglise keeles ning koolis tuleb nende viieaastane tütar kenasti toime iiri keelega.;B1
kollast liblikat;Rahvasuu räägib: kes näeb kevadel esimesena kollast liblikat, sellele tuleb kuldne suvi, kes aga kirjut, seda ootab kirju suvi.;B1
järvest lõunas;Setomaa on setude asuala Pihkva järvest lõunas.;B1
valjuhääldist raadiosaateid;Skulptuur on inspireeritud helilooja noorusajast, mil ta käis Turu platsil telefoniposti otsas asuvast valjuhääldist raadiosaateid ja muusikat kuulamas.;B1
kodust elektri;Üks isa võttis kodust elektri lihtsalt välja, ilm oli ilus ja ta tahtis, et 12aastane poeg peale kooli kasvõi paar tundigi õues, kevades jalutaks.;B1
idast läände;Põhjast lõunasse ja idast läände sõidab umbes nelja-viie tunniga.;B1
teatrist lugu;Kui me end ilusti riidesse paneme, peame teatrist lugu.;B1
lehtpuudest tammesid;Okaspuudest kasvab Eestis veel kadakaid, lehtpuudest tammesid, pärnasid, haabasid, vahtraid, pajusid, leppi ja pihlakaid.;B1
külmikust kotletid;Siis võttis ta külmikust kotletid ja pani nad mikrolaineahju.;B1
eestlasest sumomaadleja;Ta on esimene eestlasest sumomaadleja, kes on saanud professionaalseks sumomaadlejaks Jaapanis.;B1
lambanahast kasukat;Talvel kanti lambanahast kasukat.;B1
kivist müürile;Istume laiale kivist müürile ja mõne minutiga on joogil ja kartulikrõpsudel lõpp peal.;kl7
ﬁlmist konkursi;Kas sa, Tiina, aitaksid mul paremaid kaadreid ﬁlmist konkursi jaoks välja valida?;kl7
internetist teavet;Otsi internetist teavet suitsuprii klassi võistluse kohta.;kl7
hinnetest tunnistusel;Räägi, missugustest hinnetest tunnistusel unistasid õppeaasta alguses ja kui kaugel sa unistusest oled.;kl7
kivimitest kera;Tuhandeid aastaid tagasi oli Maa tulikuum vedelatest kivimitest kera, mille pinda katsid vahetpidamata purskavad vulkaanid.;kl7
ahjust võtmisel;Instruktsioonist lugesin, et nõude ahjust võtmisel kasutaks me alati kindaid.;kl7
ahjust võtmisel;Kasutage nõude ahjust võtmisel alati kindaid.;kl7
klotsidest torn;Kõige kõrgem Lego klotsidest torn ehitati Tallinnas.;kl7
pärast pingutusi;Organism vajab ka pärast pingutusi energiat, et süda, aju, kopsud ja neerud töötada saaksid.;kl7
ronimisoskusest kasu;Stockholmiski oli Astridi ronimisoskusest kasu.;kl7
talvituskohtadest väljumist;Toitu hakkavad nad otsima kohe pärast talvituskohtadest väljumist.;kl7
üritusest osa;Igaüks, kellel on soovi ja tahtmist võib sellest üritusest osa võtta.;kl8
teisipäevast laupäevani;Juulist augustini on muuseum lahti teisipäevast laupäevani kella kümnest kuueni.;kl8
pärast kontserti;Kas pärast kontserti toimub veel midagi?;kl8
kesklinnast lauluväljakule;Laulupidu algab rongkäiguga, kus kõik lauljad ja tantsijad liiguvad kesklinnast lauluväljakule.;kl8
võistlusest osa;Meiegi võtame sellest võistlusest osa.;kl8
laulukonkursist osa;Mis klassid võivad laulukonkursist osa võtta?;kl8
punast maja;Pargi juures keerad paremale ja nurga peal näed punast maja, see ongi minu maja.;kl8
kohalolekust partneritele;Linnud tavaliselt laulavad, et teatada oma territooriumist ning et teatada oma kohalolekust partneritele.;kl8
kassast pileti;Paar päeva Viljandis sõbrannal külas olnud Ave ostis möödunud kolmapäeval bussijaama kassast pileti Tallinna ja astus ühte kahest bussist, mis kell 13.10 peatuses seisid.;kl8
fliisist püksid;Purjetajate riietusse kuulusid muu hulgas fliisist püksid, jope ja müts.;kl8
territooriumist teadaandmiseks;Toonekurg kasutab kehakeelt oma territooriumist teadaandmiseks.;kl8
pärast eemalolekut;Valge toonekure partner peab pärast eemalolekut ennast tutvustama, et vältida ebasõbralikku vastuvõttu.;kl8
perest peresse;Nad õpivad mõned laulud ja tantsud selgeks, maskeerivad end ning käivad perest peresse.;kl8
huviringist osa;Agiteeri mõnd teist poissi, kes peale õppimise millegagi ei tegele ega ühestki huviringist osa ei võta.;kl9
plastiliinist loomakesi;Helena voolib plastiliinist loomakesi.;kl9
pärast surma;Kirik on pühendatud pühale Olavile, s.o Norra kuningale Olav II Haraldssonile (u 995-1030), kes pärast surma pühakuks kuulutati.;kl9
tornist vanalinnale;Kui soovi on, võib piletid osta ja raekoja tornist vanalinnale linnulennult pilgu heita.;kl9
lastelastest vanavanemate;Suvisel koolivaheajal on alati keegi lastelastest vanavanemate juures Siniallikul.;kl9
vanalinnast lõunas;Vanalinnas on Olevimägi ja Sulevimägi, vanalinnast lõunas on Tõnismägi.;kl9
eestlasest olümpiavõitja;Esimene eestlasest olümpiavõitja oli Martin Klein, kes 1912. aastal võitis olümpiamängudel hõbemedali klassikalises maadluses.;kl9
pärast treeningut;Kolm korda nädalas maadlevad nii poisid kui ka tüdrukud, pärast treeningut käiakse ujulas.;kl9
pärast muusikakooli;Kui teada tahad, siis kavatsen pärast muusikakooli veel muusikaakadeemias ka kõrghariduse omandada.;kl9
puust medalid;Kõige ilusamate joonistuste järgi lubas Marko isa puust medalid meisterdada.;kl9
kangast rõivaid;Nüüdisaegsete õmblusmasinatega saame õmmelda erinevast kangast rõivaid, teha nööpauke, tikkida ja teha iluõmblusi.;kl9
telerist otseülekannet;Tunni aja pärast näidatakse telerist otseülekannet Eesti-Leedu korvpallimatšilt.;kl9
kiirtest olümpiatõrviku;Vana-Kreeka rõivais neiud süütavad Hellase päikese kiirtest olümpiatõrviku.;kl9
eakohast riietust;Koolis on vaja kanda puhast eakohast riietust ning vahetusjalatseid.;kl9
ajakirjandustudengist luuletaja;Peol esines ka ajakirjandustudengist luuletaja Priit Liiviste, kes kandis ette spetsiaalselt kooli alguse puhuks kirjutatud luuleread.;kl9
seitsmetunnist koolipäeva;Pärast tavaliselt seitsmetunnist koolipäeva läheb ta koju, valmistuma järgmiseks päevaks.;kl9
abielust lapsed;Ühel abikaasal on varasemast abielust lapsed.;kl9
pärast kooli;Mida sa kavatsed teha pärast kooli lõpetamist?;kl9
haigusest paranemist;Kuigi ma sain terveks, ei tahtnud ma pärast haigusest paranemist enam arstiks saada.;kl9
materjalist kustutustekk;Sündmuskohal on mõned tulekustutusvahendid (pulberkustutid, tulekindlast materjalist kustutustekk), mida võib kasutada.;B2
hulgast silma;Ta paistab teiste hulgast silma.;B2
ajakavast kinnipidamisega;Teiseks oli probleeme ajakavast kinnipidamisega: näiteks jäime esimesel päeval veerand tundi hiljaks õhtusele kontserdile Leigo järve ääres.;B2
kassast raha;Eelmisel nädalal lasite lahti ühe oma töötaja, kes oli varastanud kassast raha.;B2
samssnahast peokingad;Hiljuti tulid teil müügile Itaalia samssnahast peokingad, mis müüdi moodsa välimuse tõttu kiiresti läbi.;B2
samssnahast kingad;Ostsite uued mustad Itaalia samssnahast kingad hinnaga 740 krooni.;B2
majast asotsiaalide;Võite avastada meeldiva pargi või vastupidi, leida nurga tagant põlenud majast asotsiaalide pesapaiga.;B2
dušist vett;Meil köögis kraan tilgub ja vannitoas ei tule dušist vett.;B2
välismaalastest sõpradest;Mõned välismaalastest sõpradest elavad ka Eestis.;B2
klaasidest hoone;Arhitekt Madis Eeki poolt ehitatud värvilistest klaasidest hoone on kahekorruseline ja spetsiaalselt klientide vajadusi ja söögikoha nõudmisi arvestav.;gümn
puidust interjöör;Aristokraatlikku õhustikku aitab rõhutada keskaegsele hoonele kohane puidust interjöör.;gümn
punast raamatut;Eestis hakati punast raamatut koostama rahvusvahelise punase raamatu põhimõtete alusel 1975. aastal bioloogiadoktor Eerik Kumari juhtimisel.;gümn
punast raamatut;Et saada teavet väljasuremisohus olevatest ning haruldastest taime- ja loomaliikidest, hakati koostama punast raamatut.;gümn
pargist hoonele;Kontserdipaika jõudnud, seisime mõne minuti täiesti keeletuna - vaade, mis pargist hoonele avanes, oli vapustav.;gümn
järjest vihma;Kui suvel sajab paar päeva järjest vihma, olen halvas tujus.;gümn
odrajahust sepikut;Küpsetati odrajahust sepikut, kooke, väikesi kakukesi.;gümn
ameeriklasest treener;Meie külastuse ajal mängiti ameerika jalgpalli, mida õpetas ameeriklasest treener.;gümn
süütundest vabanemiseks;Mida kõike olen teinud süütundest vabanemiseks.;gümn
punast raamatut;Millal hakati Eestis punast raamatut koostama?;gümn
sünniaastapäevast tekstis;Mitmendast kirjaniku sünniaastapäevast tekstis räägitakse?;gümn
perest perre;Need olid valgetes naisterõivastes noored tüdrukud, kes kadriema juhtimisel lauldes ja tantsides perest perre käisid ja pererahvale head karjaõnne soovisid.;gümn
kevadest rõõmu;Noored ja vanad tahavad üheskoos olla ja kevadest rõõmu tunda.;gümn
sünnist surmani;Põneva päeva saab veeta Vigelandi pargis, kus on imetlemiseks väljas 200 suurt skulptuuri, mis väljendavad kunstnik Gustav Vigelandi visiooni inimese elust kõigis selle faasides sünnist surmani.;gümn
materjalist püksseelik;Tüdrukutel on ebamäärast halli värvi paksust materjalist püksseelik, poisid kannavad pluusi, lipsu ja pikki pükse.;gümn
teisipäevast päeva;Vastlapäev nõudis noorkuud ja teisipäevast päeva.;gümn
kontserdist kuursaalis;Viiniga tutvumist alustame Johann Straussi kontserdist kuursaalis.;gümn
soolist arengut;Anoreksia pidurdab soolist arengut.;gümn
pärast operatsiooni;Kati paranemine pärast operatsiooni oli märgatav.;gümn
tööst vaimustuses;Patsient oli noore hambaarsti tööst vaimustuses.;gümn
töövihikust harjutused;Tehke töövihikust harjutused 8-10.;gümn
pärast kohtumist;Tõeline pööre tuli aga Helle ellu pärast kohtumist Mart Parmasega.;gümn
kunstialast andekust;Artistlikule isiksusele sobivamad elukutsed nõuavad enamasti kunstialast andekust, loovust ja loomingulist valmisolekut.;gümn
perest lapsel;Edukuse võti on sinu iseloom ja seda on võimalik arendada nii rikkast kui ka vaesest perest lapsel.;gümn
eestlasest helilooja;Esimene teada olev eestlasest helilooja oli Carl Friedrich Karell (1791-1857), kes sündis veel pärisorjana, kuid sai Tallinnas vabaks meheks.;gümn
eestlasest dirigendi;Festivali raames toimuvad ka tuntud eestlasest dirigendi Neeme Järvi meistrikursused.;gümn
hulgast esimehe;Fraktsioon valib oma liikmete hulgast esimehe ja aseesimehe.;gümn
elust rõõmu;Ja kõige kurvem on see, et paljud loobuvad võimest elust rõõmu tunda.;gümn
puutükkidest laevukesi;Juba koolis tekkis tulevasel skulptoril huvi kunsti vastu, näiteks armastas ta puutükkidest laevukesi nikerdada.;gümn
õigusaktidest kinnipidamist;Komisjon kontrollib ühistest õigusaktidest kinnipidamist, haldab EL-i eelarvet ja algatab uusi õigusakte.;gümn
pisiasjadest rõõmu;Lenna tunneb pisiasjadest rõõmu.;gümn
energiasõltuvusest vabanemiseks;Milliseid lahendusi pakutakse energiasõltuvusest vabanemiseks?;gümn
võlgadest kõrini;Mul on kaelani võlgadest kõrini.;gümn
inimesest inimest;Riietus ei tee inimesest inimest.;gümn
töövihikust harjutus;Tehke töövihikust harjutus 1.;gümn
töövihikust harjutused;Tehke töövihikust harjutused 2 ja 3.;gümn
tööülesannetest võid;Võid rääkida valmisolekust meeskonnatöö tegemiseks (see näitab, et hoolid teistest inimestest ja nende arvamusest) ja sõltuvalt tööülesannetest võid tegutseda ka üksi.;gümn
sellist elu;Kui inimene elab üldiselt sellist elu, mis talle meeldib, siis on ta muidugi rahul.;gümn
internetist piletid;Ostsime sõbrannadega internetist piletid ja juba järgmisel nädalal astusime bussi peale.;gümn
tööst filmi;Helilooja ja kunstnik esinevad paariminutiliste sõnavõttudega, milles räägivad oma nägemusest filmi kohta ja oma tööst filmi loomisel.;gümn
tõsist suhet;Millised iseloomuomadused peavad olema südametemurdjal ja kust tõsist suhet mitte otsida, sellest rääkisid meile noored.;gümn
tekstist võtmesõnu;Oskan leida tekstist võtmesõnu ja teha nende abil tekstist kokkuvõtet.;gümn
tekstist kokkuvõtet;Oskan leida tekstist võtmesõnu ja teha nende abil tekstist kokkuvõtet.;gümn
silmast silma;Sellise hetke eest hundiga silmast silma kohtuda maksaksid Lääne loodusturistid palju.;gümn
telerist nähtu;Eelkõige vist seda, et telerist nähtu loob käitumise ja suhtumise reeglid.;gümn
telerist nähtu;Ju on vist õige seegi, et juba terve põlvkond eestlasi tunneb elu ja maailma mitte niivõrd oma kogemuse, kui telerist nähtu kaudu.;gümn
sellist firmat;Kas tõesti pole võimalik luua sellist firmat, mis leiaks mahajäetud koertele uued peremehed?;gümn
elust rõõmu;Käisin koolis ja tundsin elust rõõmu.;gümn
raadiost hetkekski;Päeva jooksul ei lahku ma raadiost hetkekski.;gümn
internetist lisaks;Tänaseks saab internetist lisaks Kolga keskkooli koduleheküljele lugeda ka kord kuus ilmuva kooliajalehe online-varianti.;gümn
muinsuskaitsealast tegevust;Auhinda antakse välja arhitektuurimälestiste, kultuurmaastike, kunstikogude ja arheoloogiliste mälestiste säilitamise eest, samuti tunnustatakse kultuuriväärtuste säilitamist käsitlevaid uurimusi ning üksikisikute või organisatsioonide muinsuskaitsealast tegevust.;gümn
metallist kast;Buss ei ole lihtsalt neljarattaline metallist kast, millega tuimalt ühest kohast teise liigutakse.;gümn
kodanikust kandidaat;Eesti kodanikust kandidaat peab olema ametitöös ja perekonna väärtustamisel hea eeskuju ka väljaspool peret.;gümn
roosidest kimp;Emal on valge maani kleit ja ilus pikk loor ning käes heleroosadest roosidest kimp.;gümn
e-kaubandusest loobumise;Erinevalt muust maailmast ei olnud eestimaalaste peamiseks e-kaubandusest loobumise argumendiks turvalisus, vaid see, et tavakaubanduses on tooteid või teenuseid lihtsam ja meeldivam osta (41%), ja see, et Internetist ostes ei olda kindlad ostetava toote kvaliteedis (30%).;gümn
tähest epsilon;Euroopa Komisjonis euro tähistamiseks välja töötatud sümbol € on inspireeritud kreeka tähestiku viiendast tähest epsilon ja viitab sõna Euroopa algustähele.;gümn
silikaatkivist seinale;Hoone silikaatkivist seinale on paigutatud kaljuronimisnukid, mida mööda ronida 15 m kõrgusele.;gümn
kangast riideid;Kannan ainult naturaalsest kangast riideid.;gümn
dieedist kinnipidamine;Kas dieedist kinnipidamine on kerge või raske?;gümn
karjäärist loobumine;Kas karjäärist loobumine lapse nimel on tänapäeva naisele tragöödia?;gümn
töötamisest kinnisvarafirmas;Kas oleksite huvitatud töötamisest kinnisvarafirmas?;gümn
koolipingist tulnuil;Kas teie arvates on keskealistel raskem õppida kui noortel, äsja koolipingist tulnuil?;gümn
rahvusest inimeste;Kas teie usute erinevast rahvusest inimeste abieluõnne?;gümn
arvust klassis;Kas õpilaste arvust klassis sõltub õppimise kvaliteet?;gümn
erialast koolitust;Kavas on hakata uurima turismi mõjusid, levitama teavet ökoturismi kohta ning organiseerima erialast koolitust.;gümn
soomlasest geenius;Kogu maailmas teatakse, et Linus on noor soomlasest geenius, kes võib lammutada maailma rikkaima mehe Bill Gatesi impeeriumi.;gümn
brutopalgast pensionikontole;Kogumispensioni puhul loovutab inimene 2% oma brutopalgast pensionikontole ja riik lisab sellele sotsiaalmaksu arvelt juurde 4%.;gümn
rahvusest inimesega;Kui te abielluksite teisest rahvusest inimesega, mis keel saaks siis teie koduseks keeleks ja missuguses koolis hakkaksid õppima teie lapsed?;gümn
venelasest abikaasa;Kuidas te suhtute sellesse, kui eestlasest ja venelasest abikaasa hakkavad omavahel suhtlema inglise keeles?;gümn
kunstivoolust gootikast;Kunstitunnis räägiti kunstivoolust gootikast Eesti kirikute näidete varal.;gümn
summast osa;Mees võitis mõni kuu tagasi lotoga üle 100 000 krooni ning otsustas annetada sellest summast osa ka heategevuseks.;gümn
tööst välisriigis;Mida te teate tööst välisriigis?;gümn
pangaautomaadist raha;Mida teete pärast seda, kui olete pangaautomaadist raha välja võtnud?;gümn
kursusest osavõtjaid;Missugused elamistingimused ootavad ees kursusest osavõtjaid?;gümn
papirullist tunnelile;Näriliste puuris peaks olema ruumi pesamajakesele, jooksurattale, papirullist tunnelile, liivanõule, heinapallile ja mitmele toidunõule.;gümn
kehahoiust seismisel;Paksus tuleneb hoolimatusest oma keha vastu, halvast kehahoiust seismisel, kõndimisel, istumisel, kummardamisel, ebaõigest hingamisest, valest toitumisest-dieedist ja liialdamistest.;gümn
kodust äraviimist;Perekond on jõuetu, takistamaks asjade kodust äraviimist.;gümn
kevadest sügiseni;Perenaine armastas lilli ja kevadest sügiseni õitsesid tulbid, nelgid, nartsissid, pojengid, astrid, roosid ja gladioolid.;gümn
õuest tulekut;Porise ilma korral pestakse kutsika jalad ja kõhualune pärast õuest tulekut puhtaks ja kuivatatakse korralikult.;gümn
venelannast abikaasa;Soomlasest peremees elab seal koos venelannast abikaasa ja lapsega.;gümn
pärast antibiootikumide;Uuringud näitavad, et probiootiliste bakteritega rikastatud jogurtid taastavad pärast antibiootikumide tarvitamist seedekulgla mikrofloora, soodustavad B- rühma vitamiinide imendumist, langetavad kolesteroolitaset, kiirendavad seedetegevust, lühendavad kantserogeenide eluiga sooltes.;gümn
Internetist ostmise;Uus tehnoloogia on mõeldud Internetist ostmise hõlbustamiseks.;gümn
riidest kotid;Veelgi parem on riidest kotid või seljakott.;gümn
liivast mulda;Õhuke kiht paeklibu, kruusa ja natuke liivast mulda ei pea vett kinni.;gümn
kuuseokstest onne;Ööbimispaika jõudnud, hakatakse ehitama kuuseokstest onne, tehakse lõket.;gümn
isikust ettevõtjana;Üha enam kasutatakse võimalust olla iseendale tööandja ja tegutseda füüsilisest isikust ettevõtjana.;gümn
koolist tööellu;Üleminek koolist tööellu muutub võimalusterohkemaks.;gümn
maakohast universiteeti;Keskajal koondusid ühest maakohast universiteeti studeerima tulnud noorukid pansionitüüpi ühiselamutesse ehk bursadesse.;gümn
krambist ülesaamiseks;Mida soovitatakse teha vees krambist ülesaamiseks?;gümn
pärast sündi;Minu vanemad rääkisid, et nad panid mind Steiner-kooli õpilaskandidaatide nimekirja kohe pärast sündi.;gümn
roolist juhtimisõiguseta;Patrull kõrvaldas roolist juhtimisõiguseta noore naise.;gümn
meevahast küünlaid;Ühel päeval toimus meil hüvastijätuõhtu klassikaaslaste ja klassijuhatajaga, kus me rääkisime, naersime, mängisime ja valmistasime isegi meevahast küünlaid.;gümn
lihast inimesed;Joonisperekond Jetson, utoopilise kodu õnnelik omanik, pani seejärel kogu maailma unistama, et ka luust ja lihast inimesed võiksid liikuda toast tuppa nii, et uksed automaatselt avanevad, et tuled süttivad ja kustuvad nende tulles ja minnes ning tark köögiaparatuur segab ise kokku toniseeriva kokteili.;C1
neljakroonist jäätist;Kui ema andis lapsele viisteist krooni taskuraha ja laps ostis selle eest kaks neljakroonist jäätist, siis kui palju raha tal üle jäi?;C1
kiust kohvrikest;Panipaiku on autos üks, kuhu saab paigutada paar Daueri poolt toodetud ülikergest kiust kohvrikest.;C1
õhtust teatrietendust;Pärast õhtust teatrietendust autoga koju saabudes lähevad maja ees iseenesest tuled põlema - et me kibuvitsapõõsale otsa ei sõidaks.;C1
